ClientID,Completed Connections,Data Received
"('127.0.0.1', 60118)",100,6800
"('127.0.0.1', 60818)",100,6800
"('127.0.0.1', 59692)",10,680
"('127.0.0.1', 33028)",100,6800
"('127.0.0.1', 59942)",100,6800
"('127.0.0.1', 60110)",100,6800
"('127.0.0.1', 59630)",10,680
"('127.0.0.1', 60556)",100,6800
"('127.0.0.1', 59954)",100,6800
"('127.0.0.1', 60186)",100,6800
"('127.0.0.1', 59700)",10,680
"('127.0.0.1', 60056)",100,6800
"('127.0.0.1', 60072)",100,6800
"('127.0.0.1', 60770)",100,6800
"('127.0.0.1', 60642)",100,6800
"('127.0.0.1', 60332)",100,6800
"('127.0.0.1', 60762)",100,6800
"('127.0.0.1', 32910)",100,6800
"('127.0.0.1', 60146)",100,6800
"('127.0.0.1', 59962)",100,6800
"('127.0.0.1', 60740)",100,6800
"('127.0.0.1', 59704)",10,680
"('127.0.0.1', 60584)",100,6800
"('127.0.0.1', 60630)",100,6800
"('127.0.0.1', 32960)",100,6800
"('127.0.0.1', 60126)",100,6800
"('127.0.0.1', 60636)",100,6800
"('127.0.0.1', 60452)",100,6800
"('127.0.0.1', 59810)",100,6800
"('127.0.0.1', 32956)",100,6800
"('127.0.0.1', 60858)",100,6800
"('127.0.0.1', 59736)",10,680
"('127.0.0.1', 60640)",100,6800
"('127.0.0.1', 60592)",100,6800
"('127.0.0.1', 60536)",100,6800
"('127.0.0.1', 60520)",100,6800
"('127.0.0.1', 33080)",100,6800
"('127.0.0.1', 33002)",100,6800
"('127.0.0.1', 60000)",100,6800
"('127.0.0.1', 60552)",100,6800
"('127.0.0.1', 60554)",100,6800
"('127.0.0.1', 60190)",100,6800
"('127.0.0.1', 59722)",10,680
"('127.0.0.1', 60832)",100,6800
"('127.0.0.1', 60168)",100,6800
"('127.0.0.1', 60112)",100,6800
"('127.0.0.1', 32940)",100,6800
"('127.0.0.1', 32972)",100,6800
"('127.0.0.1', 32874)",100,6800
"('127.0.0.1', 60036)",100,6800
"('127.0.0.1', 60276)",100,6800
"('127.0.0.1', 33060)",100,6800
"('127.0.0.1', 60348)",100,6800
"('127.0.0.1', 32868)",100,6800
"('127.0.0.1', 60714)",100,6800
"('127.0.0.1', 59750)",10,680
"('127.0.0.1', 60504)",100,6800
"('127.0.0.1', 60560)",100,6800
"('127.0.0.1', 60450)",100,6800
"('127.0.0.1', 59648)",10,680
"('127.0.0.1', 59774)",100,6800
"('127.0.0.1', 59718)",10,680
"('127.0.0.1', 59546)",10,680
"('127.0.0.1', 32996)",100,6800
"('127.0.0.1', 59916)",100,6800
"('127.0.0.1', 59760)",100,6800
"('127.0.0.1', 60310)",100,6800
"('127.0.0.1', 59560)",10,680
"('127.0.0.1', 32958)",100,6800
"('127.0.0.1', 60108)",100,6800
"('127.0.0.1', 33078)",100,6800
"('127.0.0.1', 59714)",10,680
"('127.0.0.1', 32968)",100,6800
"('127.0.0.1', 32864)",100,6800
"('127.0.0.1', 60562)",100,6800
"('127.0.0.1', 33050)",100,6800
"('127.0.0.1', 59934)",100,6800
"('127.0.0.1', 60270)",100,6800
"('127.0.0.1', 60458)",100,6800
"('127.0.0.1', 32990)",100,6800
"('127.0.0.1', 60700)",100,6800
"('127.0.0.1', 60244)",100,6800
"('127.0.0.1', 59724)",10,680
"('127.0.0.1', 59712)",10,680
"('127.0.0.1', 60136)",100,6800
"('127.0.0.1', 59678)",10,680
"('127.0.0.1', 60558)",100,6800
"('127.0.0.1', 60544)",100,6800
"('127.0.0.1', 32952)",100,6800
"('127.0.0.1', 33084)",100,6800
"('127.0.0.1', 60260)",100,6800
"('127.0.0.1', 60822)",100,6800
"('127.0.0.1', 60158)",100,6800
"('127.0.0.1', 60788)",100,6800
"('127.0.0.1', 60688)",100,6800
"('127.0.0.1', 59538)",10,680
"('127.0.0.1', 60742)",100,6800
"('127.0.0.1', 32924)",100,6800
"('127.0.0.1', 33040)",100,6800
"('127.0.0.1', 60004)",100,6800
"('127.0.0.1', 60522)",100,6800
"('127.0.0.1', 60678)",100,6800
"('127.0.0.1', 59618)",10,680
"('127.0.0.1', 60240)",100,6800
"('127.0.0.1', 60496)",100,6800
"('127.0.0.1', 60768)",100,6800
"('127.0.0.1', 60668)",100,6800
"('127.0.0.1', 60876)",100,6800
"('127.0.0.1', 32878)",100,6800
